DVIS 5 Time Limit,Depth (msw),Dive Time (min),till 1st stop,24,21,18,15,12,9,6,3,Total deco time (min),Total OTU,Total ESOT,,,,,,,,,,,,,,,,,,,,
90,21,85,1.5,,,,,,,11,31,44.1,31,35,,,,,,,,,,,,,,,,,,,,
90,21,90,1.5,,,,,,,13,35,50.1,33,37,3,,,,,,,,,,,,,,,,,,,
70,24,15,2.1,,,,,,,,1,3.4,7,8,,,,,,,,,,,,,,,,,,,,
70,24,20,2.1,,,,,,,,3,5.4,10,10,,,,,,,,,,,,,,,,,,,,
70,24,25,2.1,,,,,,,,4,6.4,12,13,,,,,,,,,,,,,,,,,,,,
70,24,30,1.8,,,,,,,1,6,9.4,15,15,,,,,,,,,,,,,,,,,,,,
70,24,35,1.8,,,,,,,2,8,12.4,17,18,,,,,,,,,,,,,,,,,,,,
70,24,40,1.8,,,,,,,2,11,15.4,20,20,,,,,,,,,,,,,,,,,,,,
70,24,45,1.8,,,,,,,3,16,21.4,22,23,,,,,,,,,,,,,,,,,,,,
70,24,50,1.8,,,,,,,5,20,27.4,25,25,,,,,,,,,,,,,,,,,,,,
70,24,55,1.8,,,,,,,6,23,31.4,27,28,2,,,,,,,,,,,,,,,,,,,
70,24,60,1.8,,,,,,,7,26,35.4,30,30,,,,,,,,,,,,,,,,,,,,
70,24,65,1.8,,,,,,,11,26,39.4,32,33,,,,,,,,,,,,,,,,,,,,
70,24,70,1.8,,,,,,,14,29,45.4,35,36,,,,,,,,,,,,,,,,,,,,
70,24,75,1.8,,,,,,,17,34,53.4,37,39,,,,,,,,,,,,,,,,,,,,
70,24,80,1.5,,,,,,1,19,39,61.4,40,41,3,,,,,,,,,,,,,,,,,,,
60,27,15,2.4,,,,,,,,2,4.7,10,10,,,,,,,,,,,,,,,,,,,,
60,27,20,2.4,,,,,,,,5,7.7,13,13,,,,,,,,,,,,,,,,,,,,
60,27,25,2.1,,,,,,,2,6,10.7,16,16,,,,,,,,,,,,,,,,,,,,
60,27,30,2.1,,,,,,,3,8,13.7,19,19,,,,,,,,,,,,,,,,,,,,
60,27,35,2.1,,,,,,,4,12,18.7,22,22,,,,,,,,,,,,,,,,,,,,
60,27,40,1.8,,,,,,1,5,18,26.7,25,25,,,,,,,,,,,,,,,,,,,,
60,27,45,1.8,,,,,,1,7,22,32.7,28,28,2,,,,,,,,,,,,,,,,,,,
60,27,50,1.8,,,,,,1,9,25,37.7,31,31,,,,,,,,,,,,,,,,,,,,
60,27,55,1.8,,,,,,2,12,26,42.7,34,34,,,,,,,,,,,,,,,,,,,,
60,27,60,1.8,,,,,,3,15,28,48.7,37,38,,,,,,,,,,,,,,,,,,,,
60,27,65,1.8,,,,,,4,18,35,59.7,40,41,,,,,,,,,,,,,,,,,,,,
60,27,70,1.8,,,,,,5,21,40,68.7,43,45,,,,,,,,,,,,,,,,,,,,
60,27,75,1.8,,,,,,6,23,45,76.7,46,48,,,,,,,,,,,,,,,,,,,,
60,27,80,1.8,,,,,,9,23,50,84.7,49,51,3,,,,,,,,,,,,,,,,,,,
50,30,10,2.7,,,,,,,,1,4,8,9,,,,,,,,,,,,,,,,,,,,
50,30,15,2.4,,,,,,,1,3,7,11,12,,,,,,,,,,,,,,,,,,,,
50,30,20,2.4,,,,,,,2,5,10,15,15,,,,,,,,,,,,,,,,,,,,
50,30,25,2.4,,,,,,,4,8,15,19,19,,,,,,,,,,,,,,,,,,,,
50,30,30,2.1,,,,,,1,4,12,20,22,23,,,,,,,,,,,,,,,,,,,,
50,30,35,2.1,,,,,,2,6,18,29,26,27,2,,,,,,,,,,,,,,,,,,,
50,30,40,2.1,,,,,,3,8,22,36,30,30,,,,,,,,,,,,,,,,,,,,
50,30,45,2.1,,,,,,3,10,26,42,33,34,,,,,,,,,,,,,,,,,,,,
50,30,50,2.1,,,,,,5,14,26,48,37,38,,,,,,,,,,,,,,,,,,,,
50,30,55,2.1,,,,,,6,18,32,59,41,42,,,,,,,,,,,,,,,,,,,,
50,30,60,2.1,,,,,,8,20,39,70,44,46,3,,,,,,,,,,,,,,,,,,,
40,33,10,3,,,,,,,,2,5.3,9,10,,,,,,,,,,,,,,,,,,,,
40,33,15,2.7,,,,,,,2,4,9.3,13,14,,,,,,,,,,,,,,,,,,,,
40,33,20,2.4,,,,,,1,3,7,14.3,18,18,,,,,,,,,,,,,,,,,,,,
40,33,25,2.4,,,,,,2,4,10,19.3,22,23,,,,,,,,,,,,,,,,,,,,
40,33,30,2.4,,,,,,3,6,16,28.3,26,27,2,,,,,,,,,,,,,,,,,,,
40,33,35,2.1,,,,,1,3,8,22,37.3,30,32,,,,,,,,,,,,,,,,,,,,
40,33,40,2.1,,,,,1,4,10,26,44.3,34,36,,,,,,,,,,,,,,,,,,,,
40,33,45,2.1,,,,,2,6,15,26,52.3,39,41,,,,,,,,,,,,,,,,,,,,
40,33,50,2.1,,,,,2,7,19,34,65.3,43,46,,,,,,,,,,,,,,,,,,,,
40,33,55,2.1,,,,,2,9,22,41,77.3,47,50,,,,,,,,,,,,,,,,,,,,
40,33,60,2.1,,,,,4,11,23,48,89.3,51,55,3,,,,,,,,,,,,,,,,,,,
35,36,10,3,,,,,,,1,3,7.6,11,12,,,,,,,,,,,,,,,,,,,,
35,36,15,2.7,,,,,,1,2,5,11.6,15,17,,,,,,,,,,,,,,,,,,,,
35,36,20,2.7,,,,,,2,4,8,17.6,20,22,,,,,,,,,,,,,,,,,,,,
35,36,25,2.7,,,,,,4,5,14,26.6,25,27,2,,,,,,,,,,,,,,,,,,,
35,36,30,2.4,,,,,2,3,8,21,37.6,29,32,,,,,,,,,,,,,,,,,,,,
35,36,35,2.4,,,,,2,5,9,26,45.6,34,38,,,,,,,,,,,,,,,,,,,,
35,36,40,2.4,,,,,3,6,15,26,53.6,39,43,,,,,,,,,,,,,,,,,,,,
35,36,45,2.4,,,,,3,8,20,34,68.6,44,49,,,,,,,,,,,,,,,,,,,,
35,36,50,2.1,,,,1,4,9,23,43,83.6,48,54,,,,,,,,,,,,,,,,,,,,
35,36,55,2.1,,,,1,6,13,23,50,96.6,53,60,,,,,,,,,,,,,,,,,,,,
35,36,60,2.1,,,,1,7,17,23,56,107.6,58,66,3,,,,,,,,,,,,,,,,,,,
30,39,5,3.6,,,,,,,,1,4.9,7,9,,,,,,,,,,,,,,,,,,,,
30,39,10,3.3,,,,,,,2,3,8.9,12,15,,,,,,,,,,,,,,,,,,,,
30,39,15,3,,,,,,1,4,5,13.9,17,20,,,,,,,,,,,,,,,,,,,,
30,39,20,2.7,,,,,1,3,4,10,21.9,22,26,,,,,,,,,,,,,,,,,,,,
30,39,25,2.7,,,,,2,4,6,18,33.9,28,32,2,,,,,,,,,,,,,,,,,,,
30,39,30,2.7,,,,,3,4,9,24,43.9,33,38,,,,,,,,,,,,,,,,,,,,
30,39,35,2.4,,,,1,3,7,13,26,53.9,38,44,,,,,,,,,,,,,,,,,,,,
30,39,40,2.4,,,,2,3,8,19,34,69.9,44,50,,,,,,,,,,,,,,,,,,,,
30,39,45,2.4,,,,2,5,9,23,43,85.9,49,57,,,,,,,,,,,,,,,,,,,,
30,39,50,2.4,,,,2,7,14,23,51,100.9,54,64,,,,,,,,,,,,,,,,,,,,
30,39,55,2.4,,,,3,8,18,23,58,113.9,59,70,,,,,,,,,,,,,,,,,,,,
30,39,60,2.4,,,,4,9,20,25,63,124.9,65,77,3,,,,,,,,,,,,,,,,,,,
30,42,5,3.9,,,,,,,,2,6.2,7,11,,,,,,,,,,,,,,,,,,,,
30,42,10,3.3,,,,,,1,1,5,11.2,13,17,,,,,,,,,,,,,,,,,,,,
30,42,15,3,,,,,1,2,4,7,18.2,19,23,,,,,,,,,,,,,,,,,,,,
30,42,20,3,,,,,2,3,5,13,27.2,25,30,2,,,,,,,,,,,,,,,,,,,
30,42,25,3,,,,,4,3,9,21,41.2,31,37,,,,,,,,,,,,,,,,,,,,
30,42,30,2.7,,,,2,3,6,11,26,52.2,37,44,,,,,,,,,,,,,,,,,,,,
30,42,35,2.7,,,,3,3,8,18,31,67.2,42,51,,,,,,,,,,,,,,,,,,,,
30,42,40,2.7,,,,3,5,9,23,41,85.2,48,59,,,,,,,,,,,,,,,,,,,,
30,42,45,2.4,,,1,3,7,14,23,51,103.2,54,66,,,,,,,,,,,,,,,,,,,,
30,42,50,2.4,,,1,4,8,18,23,58,116.2,60,74,,,,,,,,,,,,,,,,,,,,
30,42,55,2.4,,,1,6,9,21,26,64,131.2,66,81,,,,,,,,,,,,,,,,,,,,
30,42,60,2.4,,,2,6,14,20,34,72,152.2,72,89,3,,,,,,,,,,,,,,,,,,,
25,45,5,4.2,,,,,,,,2,6.5,8,13,,,,,,,,,,,,,,,,,,,,
25,45,10,3.6,,,,,,2,2,4,12.5,15,20,,,,,,,,,,,,,,,,,,,,
25,45,15,3.3,,,,,1,3,4,9,21.5,21,27,,,,,,,,,,,,,,,,,,,,
25,45,20,3,,,,1,2,4,6,17,34.5,27,34,2,,,,,,,,,,,,,,,,,,,
25,45,25,3,,,,2,3,5,9,25,48.5,34,42,,,,,,,,,,,,,,,,,,,,
25,45,30,3,,,,3,4,7,16,26,60.5,40,51,,,,,,,,,,,,,,,,,,,,
25,45,35,2.7,,,1,3,5,9,21,39,82.5,46,59,,,,,,,,,,,,,,,,,,,,
25,45,40,2.7,,,2,3,7,13,23,49,101.5,53,68,,,,,,,,,,,,,,,,,,,,
25,45,45,2.7,,,2,5,7,18,23,57,116.5,59,76,,,,,,,,,,,,,,,,,,,,
25,45,50,2.7,,,3,6,10,20,26,64,133.5,66,85,,,,,,,,,,,,,,,,,,,,
25,45,55,2.7,,,3,7,14,21,34,72,155.5,72,94,,,,,,,,,,,,,,,,,,,,
25,45,60,2.7,,,5,7,18,20,42,79,175.5,79,103,3,,,,,,,,,,,,,,,,,,,
25,48,5,4.2,,,,,,,1,2,7.8,9,15,,,,,,,,,,,,,,,,,,,,
25,48,10,3.6,,,,,1,1,3,5,14.8,16,22,,,,,,,,,,,,,,,,,,,,
25,48,15,3.3,,,,1,1,4,4,10,24.8,23,30,2,,,,,,,,,,,,,,,,,,,
25,48,20,3.3,,,,2,3,3,8,20,40.8,30,40,,,,,,,,,,,,,,,,,,,,
25,48,25,3,,,1,3,3,6,12,26,55.8,37,48,,,,,,,,,,,,,,,,,,,,
25,48,30,3,,,2,3,4,8,19,34,74.8,44,58,,,,,,,,,,,,,,,,,,,,
25,48,35,3,,,3,3,7,11,23,45,96.8,51,68,,,,,,,,,,,,,,,,,,,,
25,48,40,2.7,,1,3,4,8,17,23,55,115.8,58,77,,,,,,,,,,,,,,,,,,,,
25,48,45,2.7,,1,3,6,9,21,24,63,131.8,65,87,,,,,,,,,,,,,,,,,,,,
25,48,50,2.7,,2,3,7,14,21,34,71,156.8,72,97,,,,,,,,,,,,,,,,,,,,
25,48,55,2.7,,2,5,7,18,21,42,79,178.8,79,107,,,,,,,,,,,,,,,,,,,,
25,48,60,2.7,,2,6,11,19,20,50,85,197.8,87,117,3,,,,,,,,,,,,,,,,,,,
20,51,5,4.5,,,,,,,2,2,9.1,10,17,,,,,,,,,,,,,,,,,,,,
20,51,10,3.9,,,,,1,2,4,5,17.1,18,25,,,,,,,,,,,,,,,,,,,,
20,51,15,3.6,,,,1,2,4,5,13,30.1,25,35,2,,,,,,,,,,,,,,,,,,,
20,51,20,3.3,,,1,2,3,4,9,23,47.1,32,45,,,,,,,,,,,,,,,,,,,,
20,51,25,3.3,,,2,3,3,8,15,26,62.1,40,55,,,,,,,,,,,,,,,,,,,,
20,51,30,3,,1,2,3,6,8,23,40,88.1,48,66,,,,,,,,,,,,,,,,,,,,
20,51,35,3,,2,2,4,8,15,23,52,111.1,55,77,,,,,,,,,,,,,,,,,,,,
20,51,40,3,,2,3,6,8,20,23,61,128.1,63,87,,,,,,,,,,,,,,,,,,,,
20,51,45,3,,3,4,7,13,21,32,70,155.1,71,99,,,,,,,,,,,,,,,,,,,,
20,51,50,2.7,1,2,6,7,18,20,42,78,179.1,79,110,,,,,,,,,,,,,,,,,,,,
20,51,55,2.7,1,3,6,11,19,20,50,85,200.1,87,121,,,,,,,,,,,,,,,,,,,,
20,51,60,2.7,1,4,7,15,18,24,54,92,220.1,95,133,3,,,,,,,,,,,,,,,,,,,
